Car,Weight,Acceleration
Chevrolet Chevelle Malibu,3504,12
Buick Skylark 320,3693,11.5
Plymouth Satellite,3436,11
AMC Rebel SST,3433,12
Ford Torino,3449,10.5
Ford Galaxie 500,4341,10
Chevrolet Impala,4354,9
Plymouth Fury iii,4312,8.5
Pontiac Catalina,4425,10
AMC Ambassador DPL,3850,8.5
Citroen DS-21 Pallas,3090,17.5
Chevrolet Chevelle Concours (sw),4142,11.5
Ford Torino (sw),4034,11
Plymouth Satellite (sw),4166,10.5
AMC Rebel SST (sw),3850,11
Dodge Challenger SE,3563,10
Plymouth 'Cuda 340,3609,8
Ford Mustang Boss 302,3353,8
Chevrolet Monte Carlo,3761,9.5
Buick Estate Wagon (sw),3086,10
Toyota Corolla Mark ii,2372,15
Plymouth Duster,2833,15.5
AMC Hornet,2774,15.5
Ford Maverick,2587,16
Datsun PL510,2130,14.5
Volkswagen 1131 Deluxe Sedan,1835,20.5
Peugeot 504,2672,17.5
Audi 100 LS,2430,14.5
Saab 99e,2375,17.5
BMW 2002,2234,12.5
AMC Gremlin,2648,15
Ford F250,4615,14
Chevy C20,4376,15
Dodge D200,4382,13.5
Hi 1200D,4732,18.5
Datsun PL510,2130,14.5
Chevrolet Vega 2300,2264,15.5
Toyota Corolla,2228,14
Ford Pinto,2046,19
Volkswagen Super Beetle 117,1978,20
AMC Gremlin,2634,13
Plymouth Satellite Custom,3439,15.5
Chevrolet Chevelle Malibu,3329,15.5
Ford Torino 500,3302,15.5
AMC Matador,3288,15.5
Chevrolet Impala,4209,12
Pontiac Catalina Brougham,4464,11.5
Ford Galaxie 500,4154,13.5
Plymouth Fury iii,4096,13
Dodge Monaco (sw),4955,11.5
Ford Country Squire (sw),4746,12
Pontiac Safari (sw),5140,12
AMC Hornet Sportabout (sw),2962,13.5
Chevrolet Vega (sw),2408,19
Pontiac Firebird,3282,15
Ford Mustang,3139,14.5
Mercury Capri 2000,2220,14
Opel 1900,2123,14
Peugeot 304,2074,19.5
Fiat 124B,2065,14.5
Toyota Corolla 1200,1773,19
Datsun 1200,1613,18
Volkswagen Model 111,1834,19
Plymouth Cricket,1955,20.5
Toyota Corolla Hardtop,2278,15.5
Dodge Colt Hardtop,2126,17
Volkswagen Type 3,2254,23.5
Chevrolet Vega,2408,19.5
Ford Pinto Runabout,2226,16.5
Chevrolet Impala,4274,12
Pontiac Catalina,4385,12
Plymouth Fury III,4135,13.5
Ford Galaxie 500,4129,13
AMC Ambassador SST,3672,11.5
Mercury Marquis,4633,11
Buick LeSabre Custom,4502,13.5
Oldsmobile Delta 88 Royale,4456,13.5
Chrysler Newport Royal,4422,12.5
Mazda RX2 Coupe,2330,13.5
AMC Matador (sw),3892,12.5
Chevrolet Chevelle Concours (sw),4098,14
Ford Gran Torino (sw),4294,16
Plymouth Satellite Custom (sw),4077,14
Volvo 145e (sw),2933,14.5
Volkswagen 411 (sw),2511,18
Peugeot 504 (sw),2979,19.5
Renault 12 (sw),2189,18
Ford Pinto (sw),2395,16
Datsun 510 (sw),2288,17
Toyota Corolla Mark II (sw),2506,14.5
Dodge Colt (sw),2164,15
Toyota Corolla 1600 (sw),2100,16.5
Buick Century 350,4100,13
AMC Matador,3672,11.5
Chevrolet Malibu,3988,13
Ford Gran Torino,4042,14.5
Dodge Coronet Custom,3777,12.5
Mercury Marquis Brougham,4952,11.5
Chevrolet Caprice Classic,4464,12
Ford LTD,4363,13
Plymouth Fury Gran Sedan,4237,14.5
Chrysler New Yorker Brougham,4735,11
Buick Electra 225 Custom,4951,11
AMC Ambassador Brougham,3821,11
Plymouth Valiant,3121,16.5
Chevrolet Nova Custom,3278,18
AMC Hornet,2945,16
Ford Maverick,3021,16.5
Plymouth Duster,2904,16
Volkswagen Super Beetle,1950,21
Chevrolet Impala,4997,14
Ford Country,4906,12.5
Plymouth Custom Suburb,4654,13
Oldsmobile Vista Cruiser,4499,12.5
AMC Gremlin,2789,15
Toyota Camry,2279,19
Chevrolet Vega,2401,19.5
Datsun 610,2379,16.5
Mazda RX3,2124,13.5
Ford Pinto,2310,18.5
Mercury Capri v6,2472,14
Fiat 124 Sport Coupe,2265,15.5
Chevrolet Monte Carlo S,4082,13
Pontiac Grand Prix,4278,9.5
Fiat 128,1867,19.5
Opel Manta,2158,15.5
Audi 100LS,2582,14
Volvo 144ea,2868,15.5
Dodge Dart Custom,3399,11
Saab 99le,2660,14
Toyota Mark II,2807,13.5
Oldsmobile Omega,3664,11
Plymouth Duster,3102,16.5
Ford Maverick,2875,17
AMC Hornet,2901,16
Chevrolet Nova,3336,17
Datsun B210,1950,19
Ford Pinto,2451,16.5
Toyota Corolla 1200,1836,21
Chevrolet Vega,2542,17
Chevrolet Chevelle Malibu Classic,3781,17
AMC Matador,3632,18
Plymouth Satellite Sebring,3613,16.5
Ford Gran Torino,4141,14
Buick Century Luxus (sw),4699,14.5
Dodge Coronet Custom (sw),4457,13.5
Ford Gran Torino (sw),4638,16
AMC Matador (sw),4257,15.5
Audi Fox,2219,16.5
Volkswagen Dasher,1963,15.5
Opel Manta,2300,14.5
Toyota Corolla,1649,16.5
Datsun 710,2003,19
Dodge Colt,2125,14.5
Fiat 128,2108,15.5
Fiat 124 TC,2246,14
Honda Civic,2489,15
Subaru,2391,15.5
Fiat x1.9,2000,16
Plymouth Valiant Custom,3264,16
Chevrolet Nova,3459,16
Mercury Monarch,3432,21
Ford Maverick,3158,19.5
Pontiac Catalina,4668,11.5
Chevrolet Bel Air,4440,14
Plymouth Grand Fury,4498,14.5
Ford LTD,4657,13.5
Buick Century,3907,21
Chevrolete Chevelle Malibu,3897,18.5
AMC Matador,3730,19
Plymouth Fury,3785,19
Buick Skyhawk,3039,15
Chevrolet Monza 2+2,3221,13.5
Ford Mustang II,3169,12
Toyota Corolla,2171,16
Ford Pinto,2639,17
AMC Gremlin,2914,16
Pontiac Astro,2592,18.5
Toyota Corolla,2702,13.5
Volkswagen Dasher,2223,16.5
Datsun 710,2545,17
Ford Pinto,2984,14.5
Volkswagen Rabbit,1937,14
AMC Pacer,3211,17
Audi 100LS,2694,15
Peugeot 504,2957,17
Volvo 244DL,2945,14.5
Saab 99LE,2671,13.5
Honda Civic CVCC,1795,17.5
Fiat 131,2464,15.5
Opel 1900,2220,16.9
Capri ii,2572,14.9
Dodge Colt,2255,17.7
Renault 12tl,2202,15.3
Chevrolet Chevelle Malibu Classic,4215,13
Dodge Coronet Brougham,4190,13
AMC Matador,3962,13.9
Ford Gran Torino,4215,12.8
Plymouth Valiant,3233,15.4
Chevrolet Nova,3353,14.5
Ford Maverick,3012,17.6
AMC Hornet,3085,17.6
Chevrolet Chevette,2035,22.2
Chevrolet Woody,2164,22.1
Volkswagen Rabbit,1937,14.2
Honda Civic,1795,17.4
Dodge Aspen SE,3651,17.7
Ford Grenada ghia,3574,21
Pontiac Ventura SJ,3645,16.2
AMC Pacer d/l,3193,17.8
Volkswagen Rabbit,1825,12.2
Datsun B-210,1990,17
Toyota Corolla,2155,16.4
Ford Pinto,2565,13.6
Volvo 245,3150,15.7
Plymouth Volare Premier v8,3940,13.2
Peugeot 504,3270,21.9
Toyota Mark II,2930,15.5
Mercedes-Benz 280s,3820,16.7
Cadillac Seville,4380,12.1
Chevrolet C10,4055,12
Ford F108,3870,15
Dodge D100,3755,14
Honda Accord CVCC,2045,18.5
Buick Opel Isuzu Deluxe,2155,14.8
Renault 5 GTL,1825,18.6
Plymouth Arrow GS,2300,15.5
Datsun F-10 Hatchback,1945,16.8
Chevrolet Caprice Classic,3880,12.5
Oldsmobile Cutlass Supreme,4060,19
Dodge Monaco Brougham,4140,13.7
Mercury Cougar Brougham,4295,14.9
Chevrolet Concours,3520,16.4
Buick Skylark,3425,16.9
Plymouth Volare Custom,3630,17.7
Ford Grenada,3525,19
Pontiac Grand Prix LJ,4220,11.1
Chevrolet Monte Carlo Landau,4165,11.4
Chrysler Cordoba,4325,12.2
Ford Thunderbird,4335,14.5
Volkswagen Rabbit Custom,1940,14.5
Pontiac Sunbird Coupe,2740,16
Toyota Corolla Liftback,2265,18.2
Ford Mustang II 2+2,2755,15.8
Chevrolet Chevette,2051,17
Dodge Colt m/m,2075,15.9
Subaru DL,1985,16.4
Volkswagen Dasher,2190,14.1
Datsun 810,2815,14.5
BMW 320i,2600,12.8
Mazda RX-4,2720,13.5
Volkswagen Rabbit Custom Diesel,1985,21.5
Ford Fiesta,1800,14.4
Mazda GLC Deluxe,1985,19.4
Datsun B210 GX,2070,18.6
Honda Civic CVCC,1800,16.4
Oldsmobile Cutlass Salon Brougham,3365,15.5
Dodge Diplomat,3735,13.2
Mercury Monarch ghia,3570,12.8
Pontiac Phoenix LJ,3535,19.2
Chevrolet Malibu,3155,18.2
Ford Fairmont (auto),2965,15.8
Ford Fairmont (man),2720,15.4
Plymouth Volare,3430,17.2
AMC Concord,3210,17.2
Buick Century Special,3380,15.8
Mercury Zephyr,3070,16.7
Dodge Aspen,3620,18.7
AMC Concord d/l,3410,15.1
Chevrolet Monte Carlo Landau,3425,13.2
Buick Regal Sport Coupe (turbo),3445,13.4
Ford Futura,3205,11.2
Dodge Magnum XE,4080,13.7
Chevrolet Chevette,2155,16.5
Toyota Corolla,2560,14.2
Datsun 510,2300,14.7
Dodge Omni,2230,14.5
Toyota Celica GT Liftback,2515,14.8
Plymouth Sapporo,2745,16.7
Oldsmobile Starfire SX,2855,17.6
Datsun 200-SX,2405,14.9
Audi 5000,2830,15.9
Volvo 264gl,3140,13.6
Saab 99gle,2795,15.7
Peugeot 604sl,3410,15.8
Volkswagen Scirocco,1990,14.9
Honda Accord LX,2135,16.6
Pontiac Lemans V6,3245,15.4
Mercury Zephyr 6,2990,18.2
Ford Fairmont 4,2890,17.3
AMC Concord DL 6,3265,18.2
Dodge Aspen 6,3360,16.6
Chevrolet Caprice Classic,3840,15.4
Ford LTD Landau,3725,13.4
Mercury Grand Marquis,3955,13.2
Dodge St. Regis,3830,15.2
Buick Estate Wagon (sw),4360,14.9
Ford Country Squire (sw),4054,14.3
Chevrolet Malibu Classic (sw),3605,15
Chrysler Lebaron Town @ Country (sw),3940,13
Volkswagen Rabbit Custom,1925,14
Mazda GLC Deluxe,1975,15.2
Dodge Colt Hatchback Custom,1915,14.4
AMC Spirit DL,2670,15
Mercedes Benz 300d,3530,20.1
Cadillac Eldorado,3900,17.4
Peugeot 504,3190,24.8
Oldsmobile Cutlass Salon Brougham,3420,22.2
Plymouth Horizon,2200,13.2
Plymouth Horizon TC3,2150,14.9
Datsun 210,2020,19.2
Fiat Strada Custom,2130,14.7
Buick Skylark Limited,2670,16
Chevrolet Citation,2595,11.3
Oldsmobile Omega Brougham,2700,12.9
Pontiac Phoenix,2556,13.2
Volkswagen Rabbit,2144,14.7
Toyota Corolla Tercel,1968,18.8
Chevrolet Chevette,2120,15.5
Datsun 310,2019,16.4
Chevrolet Citation,2678,16.5
Ford Fairmont,2870,18.1
AMC Concord,3003,20.1
Dodge Aspen,3381,18.7
Audi 4000,2188,15.8
Toyota Corolla Liftback,2711,15.5
Mazda 626,2542,17.5
Datsun 510 Hatchback,2434,15
Toyota Corolla,2265,15.2
Mazda GLC,2110,17.9
Dodge Colt,2800,14.4
Datsun 210,2110,19.2
Volkswagen Rabbit C (Diesel),2085,21.7
Volkswagen Dasher (diesel),2335,23.7
Audi 5000s (diesel),2950,19.9
Mercedes-Benz 240d,3250,21.8
Honda Civic 1500 gl,1850,13.8
Renault Lecar Deluxe,1835,17.3
Subaru DL,2145,18
Volkswagen Rabbit,1845,15.3
Datsun 280-ZX,2910,11.4
Mazda RX-7 GS,2420,12.5
Triumph TR7 Coupe,2500,15.1
Ford Mustang Cobra,2905,14.3
Honda Accord,2290,17
Plymouth Reliant,2490,15.7
Buick Skylark,2635,16.4
Dodge Aries Wagon (sw),2620,14.4
Chevrolet Citation,2725,12.6
Plymouth Reliant,2385,12.9
Toyota Starlet,1755,16.9
Plymouth Champ,1875,16.4
Honda Civic 1300,1760,16.1
Subaru,2065,17.8
Datsun 210 MPG,1975,19.4
Toyota Tercel,2050,17.3
Mazda GLC 4,1985,16
Plymouth Horizon 4,2215,14.9
Ford Escort 4W,2045,16.2
Ford Escort 2H,2380,20.7
Volkswagen Jetta,2190,14.2
Renault 18i,2320,15.8
Honda Prelude,2210,14.4
Toyota Corolla,2350,16.8
Datsun 200SX,2615,14.8
Mazda 626,2635,18.3
Peugeot 505s Turbo Diesel,3230,20.4
Saab 900s,2800,15.4
Volvo Diesel,3160,19.6
Toyota Cressida,2900,12.6
Datsun 810 Maxima,2930,13.8
Buick Century,3415,15.8
Oldsmobile Cutlass LS,3725,19
Ford Grenada gl,3060,17.1
Chrysler Lebaron Salon,3465,16.6
Chevrolet Cavalier,2605,19.6
Chevrolet Cavalier Wagon,2640,18.6
Chevrolet Cavalier 2-door,2395,18
Pontiac J2000 SE Hatchback,2575,16.2
Dodge Aries SE,2525,16
Pontiac Phoenix,2735,18
Ford Fairmont Futura,2865,16.4
AMC Concord DL,3035,20.5
Volkswagen Rabbit l,1980,15.3
Mazda GLC Custom l,2025,18.2
Mazda GLC Custom,1970,17.6
Plymouth Horizon Miser,2125,14.7
Mercury Lynx l,2125,17.3
Nissan Stanza XE,2160,14.5
Honda Accord,2205,14.5
Toyota Corolla,2245,16.9
Honda Civic,1965,15
Honda Civic (auto),1965,15.7
Datsun 310 GX,1995,16.2
Buick Century Limited,2945,16.4
Oldsmobile Cutlass Ciera (diesel),3015,17
Chrysler Lebaron Medallion,2585,14.5
Ford Grenada l,2835,14.7
Toyota Celica GT,2665,13.9
Dodge Charger 2.2,2370,13
Chevrolet Camaro,2950,17.3
Ford Mustang GL,2790,15.6
Volkswagen Pickup,2130,24.6
Dodge Rampage,2295,11.6
Ford Ranger,2625,18.6
Chevy S-10,2720,19.4
